"","Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"1",2009,0.0710344827586207,0.205263157894737,0.358709677419355,0.458378378378378,0.502857142857143,0.818139534883721,0.962857142857143,0.693333333333333,1.14,1.274375,1.43,0.933333333333333,1,NA,NA,NA,NA,NA
"2",2012,0.109444444444444,0.199390243902439,0.355,0.442962962962963,0.515625,0.783333333333333,0.9035,1.11,1.6285,1.443,0.985714285714286,1.061875,1.07178571428571,1.255,1.74,1.21,NA,NA
"3",2013,0.134928571428571,0.2652,0.36232,0.492553191489362,0.533258064516129,0.6664,0.872857142857143,0.967631578947368,0.798363636363636,1.0665,1.255,2.197,1.00342857142857,0.985714285714286,0.9608,0.951333333333333,0.85,1.02
"4",2014,NA,0.418181818181818,0.507272727272727,0.482937853107345,0.510555555555556,0.536818181818182,0.666666666666667,0.57,0.795,NA,0.64,NA,NA,NA,NA,NA,NA,NA
"5",2015,0.0773953488372093,0.2465,0.404321428571429,0.477941176470588,0.48089175257732,0.626833333333333,0.685416666666667,0.716666666666667,1.00333333333333,0.674142857142857,0.7025,1.0825,0.899,1.1325,1.4,1.6525,0.975,NA
"6",2016,0.045,0.230642857142857,0.41,0.43625,0.443571428571429,0.491576923076923,0.6365,0.566363636363636,0.56375,0.91,0.6025,0.6975,0.705,0.6725,NA,0.55,NA,NA
