"","Age","Length"
"1",1,23.7517730496454
"2",2,33.1047297297297
"3",3,38.7205479452055
"4",4,42.3255131964809
"5",5,43.4356435643564
"6",6,45.8908296943231
"7",7,50.7469879518072
"8",8,51.6901408450704
"9",9,53.8108108108108
"10",10,55.9433962264151
"11",11,55.4615384615385
"12",12,54.4761904761905
"13",13,54.52
"14",14,54.7826086956522
"15",15,56
"16",16,56
"17",17,53.5
"18",18,53
