"","year","n.fish","n.hauls","source","age","proportion","catch"
"334",2016,1495,502,"ms","a9",0.00379994200129762,5.68091329193994
"335",2017,1054,353,"ms","a9",0.0196045921419645,20.6632401176306
"336",2018,818,403,"ms","a9",0.0332321837931168,27.1839263427695
"337",2019,824,286,"ms","a9",0.165138635107246,136.074235328371
"338",2020,509,186,"ms","a9",0.0217902224553792,11.091223229788
"339",2008,1259,63,"shore","a9",0.220046880024852,277.039021951289
"340",2009,1399,65,"shore","a9",0.015967303316162,22.3382573393106
"341",2010,1584,75,"shore","a9",0.00672342166371398,10.6498999153229
"342",2011,1599,81,"shore","a9",0.00352749126002739,5.6404585247838
"343",2012,1522,76,"shore","a9",0.00288510724537788,4.39113322746513
"344",2013,1915,96,"shore","a9",0.00363845157692408,6.96763476980961
"345",2014,1355,68,"shore","a9",0.0166621727934131,22.5772441350747
"346",2015,1680,84,"shore","a9",0.0105353323574548,17.6993583605241
"347",2016,1518,76,"shore","a9",0.00724972018945249,11.0050752475889
"348",2017,2235,112,"shore","a9",0.0211514279190375,47.2734413990488
"349",2018,1834,92,"shore","a9",0.0265012796479849,48.6033468744043
"350",2019,1826,92,"shore","a9",0.167535889815029,305.920534802243
"351",2020,1916,96,"shore","a9",0.0176166364406203,33.7534754202285
"352",2008,1757,356,"cp","a10",0.0134798115486131,23.6840288909132
"353",2009,1323,278,"cp","a10",0.0782911170174456,103.579147814081
"354",2010,976,331,"cp","a10",0.0018092618882478,1.76583960292985
"355",2011,1185,506,"cp","a10",0.00332854264778992,3.94432303763106
"356",2012,981,332,"cp","a10",0.0027529787070151,2.70067211158181
"357",2013,1402,474,"cp","a10",0.00358122437278444,5.02087657064379
"358",2014,1652,557,"cp","a10",0.00435487520756514,7.19425384289761
"359",2015,1263,431,"cp","a10",0.00524957342921728,6.63021124110143
"360",2016,1995,671,"cp","a10",0.00201207351818126,4.01408666877161
"361",2017,2026,684,"cp","a10",0.0116621840567686,23.6275848990132
"362",2018,1162,549,"cp","a10",0.0125463608263301,14.5788712801956
"363",2019,1190,494,"cp","a10",0.0115304738714661,13.7212639070447
"364",2020,909,389,"cp","a10",0.11136515307356,101.230924143866
"365",2008,1580,324,"ms","a10",0.0203177681425253,32.10207366519
"366",2009,1187,316,"ms","a10",0.198118881579735,235.167112435145
"367",2010,1305,443,"ms","a10",0.00948417022325596,12.376842141349
"368",2011,1153,481,"ms","a10",0.000302377479106709,0.348641233410036
"369",2012,884,299,"ms","a10",0,0
"370",2013,1215,409,"ms","a10",0.00191383773580292,2.32531284900055
"371",2014,1252,423,"ms","a10",0.00523854379608111,6.55865683269355
"372",2015,601,203,"ms","a10",0.0083041170496088,4.99077434681489
"373",2016,1495,502,"ms","a10",0.00317422305053998,4.74546346055727
"374",2017,1054,353,"ms","a10",0.00490719000601027,5.17217826633483
"375",2018,818,403,"ms","a10",0.0100262300786142,8.20145620430642
"376",2019,824,286,"ms","a10",0.0146306612760607,12.055664891474
"377",2020,509,186,"ms","a10",0.113020408548796,57.5273879513372
"378",2008,1259,63,"shore","a10",0.0197321287193839,24.8427500577043
"379",2009,1399,65,"shore","a10",0.0834889362896815,116.801021869264
"380",2010,1584,75,"shore","a10",0.0105459552062462,16.704793046694
"381",2011,1599,81,"shore","a10",0.00157201458814694,2.51365132644696
"382",2012,1522,76,"shore","a10",0.000682854049344395,1.03930386310217
"383",2013,1915,96,"shore","a10",0.00370550129716124,7.09603498406377
"384",2014,1355,68,"shore","a10",0.0062971146283953,8.53259032147563
"385",2015,1680,84,"shore","a10",0.0127938192544584,21.4936163474901
"386",2016,1518,76,"shore","a10",0.00287524095426921,4.36461576858066
"387",2017,2235,112,"shore","a10",0.0166274448451057,37.1623392288112
"388",2018,1834,92,"shore","a10",0.01323558369073,24.2740604887988
"389",2019,1826,92,"shore","a10",0.0154072715042954,28.1336777668434
"390",2020,1916,96,"shore","a10",0.154565198835938,296.146920969657
"391",2008,1757,356,"cp","a11",0.00522078300991099,9.17291574841361
"392",2009,1323,278,"cp","a11",0.0109025368762022,14.4240562872155
"393",2010,976,331,"cp","a11",0.0280898496217861,27.4156932308632
"394",2011,1185,506,"cp","a11",0.000371731388167221,0.440501694978157
"395",2012,981,332,"cp","a11",0.00469616840227739,4.60694120263412
"396",2013,1402,474,"cp","a11",0.00242855279972556,3.40483102521524
"397",2014,1652,557,"cp","a11",0.000883709786711671,1.45988856764768
"398",2015,1263,431,"cp","a11",0,0
"399",2016,1995,671,"cp","a11",0.00444096675812837,8.8597286824661
"400",2017,2026,684,"cp","a11",0.00253179677635923,5.1294202689038
"401",2018,1162,549,"cp","a11",0.0028191625994201,3.27586694052616
"402",2019,1190,494,"cp","a11",0.00842150589524806,10.0215920153452
"403",2020,909,389,"cp","a11",0.0068179498396321,6.19751640422558
"404",2008,1580,324,"ms","a11",0.00482369198143837,7.62143333067262
"405",2009,1187,316,"ms","a11",0.0190018900447538,22.5552434831228
"406",2010,1305,443,"ms","a11",0.0226861415084186,29.6054146684863
"407",2011,1153,481,"ms","a11",0.00112532326586229,1.29749772553922
"408",2012,884,299,"ms","a11",0.000917212622952184,0.810815958689731
"409",2013,1215,409,"ms","a11",0.00149035325104063,1.81077920001437
"410",2014,1252,423,"ms","a11",0.00113108268673673,1.41611552379439
"411",2015,601,203,"ms","a11",0.00290264819617313,1.74449156590005
"412",2016,1495,502,"ms","a11",0.000866161095415717,1.2949108376465
"413",2017,1054,353,"ms","a11",0.000770137959079265,0.811725408869545
"414",2018,818,403,"ms","a11",0.00521476033857544,4.26567395695471
"415",2019,824,286,"ms","a11",0.0108117919330363,8.90891655282191
"416",2020,509,186,"ms","a11",0.0133887470350145,6.81487224082238
"417",2008,1259,63,"shore","a11",0.00992973875093313,12.5015410874248
"418",2009,1399,65,"shore","a11",0.0121843451846795,17.0458989133666
"419",2010,1584,75,"shore","a11",0.0389098823960913,61.6332537154086
"420",2011,1599,81,"shore","a11",0,0
"421",2012,1522,76,"shore","a11",0,0
"422",2013,1915,96,"shore","a11",0.00131272775851151,2.51387365754954
"423",2014,1355,68,"shore","a11",0.00225682151928486,3.05799315863098
"424",2015,1680,84,"shore","a11",0.00242609754393726,4.0758438738146
"425",2016,1518,76,"shore","a11",0.003069509851588,4.65951595471058
"426",2017,2235,112,"shore","a11",0.00637206309078712,14.2415610079092
"427",2018,1834,92,"shore","a11",0.00857411842303434,15.724933187845
"428",2019,1826,92,"shore","a11",0.0177056863465211,32.3305832687475
"429",2020,1916,96,"shore","a11",0.01091885710987,20.9205302225109
"430",2008,1757,356,"cp","a12",0.00503040518555691,8.83842191102349
"431",2009,1323,278,"cp","a12",0.000720640184345959,0.953406963889704
"432",2010,976,331,"cp","a12",0.00322363841141766,3.14627108954364
"433",2011,1185,506,"cp","a12",0.0179454087550735,21.2653093747621
"434",2012,981,332,"cp","a12",0.00486857833797883,4.77607534955723
"435",2013,1402,474,"cp","a12",0.000968623151649478,1.35800965861257
"436",2014,1652,557,"cp","a12",0,0
"437",2015,1263,431,"cp","a12",0.00115693408854031,1.46120775382641
"438",2016,1995,671,"cp","a12",0.00203431783399017,4.05846407881039
"439",2017,2026,684,"cp","a12",0.00583269897222932,11.8170481177366
"440",2018,1162,549,"cp","a12",0.00397758391251237,4.62195250633937
"441",2019,1190,494,"cp","a12",0.00449171315623349,5.34513865591785
"442",2020,909,389,"cp","a12",0.0108392447518814,9.85287347946019
"443",2008,1580,324,"ms","a12",0.00733305551740957,11.5862277175071
"444",2009,1187,316,"ms","a12",0.00268864868349539,3.19142598730903
"445",2010,1305,443,"ms","a12",0.00391616962085901,5.11060135522101
"446",2011,1153,481,"ms","a12",0.00110817895581075,1.27773033604979
"447",2012,884,299,"ms","a12",0.000443455784816451,0.392014913777743
"448",2013,1215,409,"ms","a12",0.000465427138325491,0.565493973065472
"449",2014,1252,423,"ms","a12",0.000784337269847113,0.981990261848586
"450",2015,601,203,"ms","a12",0,0
"451",2016,1495,502,"ms","a12",0.00149085128762181,2.22882267499461
"452",2017,1054,353,"ms","a12",0.00812497063390254,8.56371904813328
"453",2018,818,403,"ms","a12",0.00334959874635454,2.73997177451801
"454",2019,824,286,"ms","a12",0.00439536869037224,3.62178380086673
"455",2020,509,186,"ms","a12",0.00849627732451397,4.32460515817761
"456",2008,1259,63,"shore","a12",0.00418405643122952,5.26772704691797
"457",2009,1399,65,"shore","a12",0.0059765923319643,8.36125267241806
"458",2010,1584,75,"shore","a12",0.00768101505538402,12.1667278477283
"459",2011,1599,81,"shore","a12",0.00549868939805743,8.79240434749383
"460",2012,1522,76,"shore","a12",0.00336279746971472,5.1181777489058
"461",2013,1915,96,"shore","a12",0.000359864139742062,0.689139827606049
"462",2014,1355,68,"shore","a12",0,0
"463",2015,1680,84,"shore","a12",0.00171781493289134,2.88592908725745
"464",2016,1518,76,"shore","a12",0.0026422253035301,4.01089801075869
"465",2017,2235,112,"shore","a12",0.00531439266337246,11.8776676026374
"466",2018,1834,92,"shore","a12",0.0048572801223995,8.90825174448068
"467",2019,1826,92,"shore","a12",0.00802435142407778,14.652465700366
"468",2020,1916,96,"shore","a12",0.00820543564558386,15.7216146969387
"469",2008,1757,356,"cp","a13",0.000261314511937319,0.459129597473869
"470",2009,1323,278,"cp","a13",0.00125789083586273,1.66418957584639
"471",2010,976,331,"cp","a13",0,0
"472",2011,1185,506,"cp","a13",0.00228008227322844,2.7018974937757
"473",2012,981,332,"cp","a13",0.00560297585204444,5.4965193108556
"474",2013,1402,474,"cp","a13",0.000680310819907085,0.953795769509733
"475",2014,1652,557,"cp","a13",0,0
"476",2015,1263,431,"cp","a13",0.00122863863659303,1.551770598017
"477",2016,1995,671,"cp","a13",0,0
"478",2017,2026,684,"cp","a13",0.00168363565032618,3.41104582756084
"479",2018,1162,549,"cp","a13",0.00287051474761032,3.33553813672319
"480",2019,1190,494,"cp","a13",0.000461461937544634,0.549139705678114
"481",2020,909,389,"cp","a13",0,0
"482",2008,1580,324,"ms","a13",0.00254136711090596,4.01536003523142
"483",2009,1187,316,"ms","a13",0.00626290069661334,7.43406312688003
"484",2010,1305,443,"ms","a13",0.000386554589465409,0.504453739252359
"485",2011,1153,481,"ms","a13",0.000285866091499882,0.329603603499364
"486",2012,884,299,"ms","a13",0.0010195934259974,0.901320588581702
"487",2013,1215,409,"ms","a13",0.00234298955121169,2.8467323047222
"488",2014,1252,423,"ms","a13",0,0
"489",2015,601,203,"ms","a13",0,0
"490",2016,1495,502,"ms","a13",0,0
"491",2017,1054,353,"ms","a13",0.00188785684778648,1.98980111756695
"492",2018,818,403,"ms","a13",0.00195943076964485,1.60281436956949
"493",2019,824,286,"ms","a13",0.00500133477610202,4.12109985550806
"494",2020,509,186,"ms","a13",0.00419678277253521,2.13616243122042
"495",2008,1259,63,"shore","a13",0.00220487683700971,2.77593993779522
